id_pdc_itinerance,date_origine,date_derniere_vue,n_vues
FRETIE64122E17,2023-12-24,2023-12-25,2
FRETIE64122F11,2023-12-24,2023-12-25,2
FRETIE64122F12,2023-12-24,2023-12-25,2
FRETIE64122F13,2023-12-24,2023-12-25,2
FRETIE64122F14,2023-12-24,2023-12-25,2
FRETIE64122F15,2023-12-24,2023-12-25,2
FRETIE64122G11,2023-12-24,2023-12-25,2
FRETIE64122G12,2023-12-24,2023-12-25,2
FRETIE64122G13,2023-12-24,2023-12-25,2
FRETIE64122G14,2023-12-24,2023-12-25,2
FRETIE64122G15,2023-12-24,2023-12-25,2
FRETIE64122G16,2023-12-24,2023-12-25,2
FRETIE64122G17,2023-12-24,2023-12-25,2
FRETIE64122H11,2023-12-24,2023-12-25,2
FRETIE64122H12,2023-12-24,2023-12-25,2
FRETIE64122H13,2023-12-24,2023-12-25,2
FRETIE64122H14,2023-12-24,2023-12-25,2
FRETIE64122H15,2023-12-24,2023-12-25,2
FRETIE64122I11,2023-12-24,2023-12-25,2
FRETIE64122I12,2023-12-24,2023-12-25,2
FRETIE64122I13,2023-12-24,2023-12-25,2
FRETIE64122I14,2023-12-24,2023-12-25,2
FRETIE64122I15,2023-12-24,2023-12-25,2
FRETIE64335A11,2023-12-24,2023-12-25,2
FRETIE64335A12,2023-12-24,2023-12-25,2
FRETIE64335A13,2023-12-24,2023-12-25,2
FRETIE64335A14,2023-12-24,2023-12-25,2
FRETIE64335A15,2023-12-24,2023-12-25,2
FRETIE64335A16,2023-12-24,2023-12-25,2
FRETIE64483A11,2023-12-24,2023-12-25,2
FRETIE64483A12,2023-12-24,2023-12-25,2
FRETIE64483A13,2023-12-24,2023-12-25,2
FRETIE64483A14,2023-12-24,2023-12-25,2
FRETIE64483A15,2023-12-24,2023-12-25,2
FRETIE64483A16,2023-12-24,2023-12-25,2
FRETIE77385A11,2023-12-24,2023-12-25,2
FRETIE77385A12,2023-12-24,2023-12-25,2
FRETIE77385A13,2023-12-24,2023-12-25,2
FRETIE77385A14,2023-12-24,2023-12-25,2
FRETIE77385A15,2023-12-24,2023-12-25,2
FRETIE77420A11,2023-12-24,2023-12-25,2
FRETIE77420A12,2023-12-24,2023-12-25,2
FRETIE77420A13,2023-12-24,2023-12-25,2
FRETIE77420A14,2023-12-24,2023-12-25,2
FRETIE77420A15,2023-12-24,2023-12-25,2
FRETIE77420A16,2023-12-24,2023-12-25,2
FRETIE80021A11,2023-12-24,2023-12-25,2
FRETIE80021A12,2023-12-24,2023-12-25,2
FRETIE80021A13,2023-12-24,2023-12-25,2
FRETIE80021A14,2023-12-24,2023-12-25,2
FRETIE80021A15,2023-12-24,2023-12-25,2
FRETIE80021A16,2023-12-24,2023-12-25,2
FRETIE81004A15,2023-12-24,2023-12-25,2
FRETIE89239B11,2023-12-24,2023-12-25,2
FRETIE89239B12,2023-12-24,2023-12-25,2
FRETIE89239B13,2023-12-24,2023-12-25,2
FRETIE89239B14,2023-12-24,2023-12-25,2
FRETIE89239B15,2023-12-24,2023-12-25,2
FRETIE89239B16,2023-12-24,2023-12-25,2
FRLDLE00000003,2023-12-24,2023-12-25,2
FRMBZEPIGZC1,2023-12-24,2023-12-25,2
FRMBZEPQKDI1,2023-12-24,2023-12-25,2
FRMBZEYBDLN1,2023-12-24,2023-12-25,2
FRMBZEYBDLN2,2023-12-24,2023-12-25,2
FRQPKEQPRK5511,2023-12-24,2023-12-25,2
FRQPKEQPRK5521,2023-12-24,2023-12-25,2
FRQPKEQPRK8011,2023-12-24,2023-12-25,2
FRS37E233162,2023-12-24,2023-12-25,2
FRS37E233163,2023-12-24,2023-12-25,2
FRS88E181191,2023-12-24,2023-12-25,2
FRS88E181193,2023-12-24,2023-12-25,2
FRALLEGO8001131,2023-12-23,2023-12-25,3
FRALLEGO8001132,2023-12-23,2023-12-25,3
FRALLEGO8001141,2023-12-23,2023-12-25,3
FRALLEGO8001142,2023-12-23,2023-12-25,3
FRALLEGO8008611,2023-12-23,2023-12-25,3
FRALLEGO8008612,2023-12-23,2023-12-25,3
FRELCEFQXS,2023-12-23,2023-12-25,3
FRELCELKNE,2023-12-23,2023-12-25,3
FRELCEQAT9,2023-12-23,2023-12-25,3
FRELCEXV8X,2023-12-23,2023-12-25,3
FRFASE3321901,2023-12-23,2023-12-25,3
FRFASE3321902,2023-12-23,2023-12-25,3
FRFASE3321903,2023-12-23,2023-12-25,3
FRFASE3321904,2023-12-23,2023-12-25,3
FRFASE3321905,2023-12-23,2023-12-25,3
FRFASE3321906,2023-12-23,2023-12-25,3
FRFASE3321907,2023-12-23,2023-12-25,3
FRFASE3321908,2023-12-23,2023-12-25,3
FRIZFEFAST3211,2023-12-23,2023-12-25,2
FRIZFEFAST3212,2023-12-23,2023-12-25,2
FRIZFEFAST3213,2023-12-23,2023-12-25,2
FRLDLE00001863,2023-12-23,2023-12-24,2
FRLDLE00003210,2023-12-23,2023-12-25,3
FRLDLE00003211,2023-12-23,2023-12-25,3
FRLDLE00003291,2023-12-23,2023-12-25,3
FRLDLE00003292,2023-12-23,2023-12-25,3
FRLDLE00003303,2023-12-23,2023-12-25,3
FRLDLE00003304,2023-12-23,2023-12-25,3
FRLDLE00004127,2023-12-23,2023-12-25,3
FRPD1EGSTHBLCST501,2023-12-23,2023-12-25,3
FRPD1EGSTHBLCST502,2023-12-23,2023-12-25,3
FRPD1EGSTHBLCST503,2023-12-23,2023-12-25,3
FRS37E220249,2023-12-23,2023-12-25,3
FRS37E220478,2023-12-23,2023-12-25,3
FRS37E221442,2023-12-23,2023-12-25,3
FRS37E221491,2023-12-23,2023-12-25,3
FRS37E227282,2023-12-23,2023-12-25,3
FRSHEE421,2023-12-23,2023-12-25,3
FRSHEE422,2023-12-23,2023-12-25,3
FRCG0E001888,2023-12-22,2023-12-25,4
FRCG0E001889,2023-12-22,2023-12-25,4
FRCG0E001890,2023-12-22,2023-12-25,4
FRELCE93C2,2023-12-22,2023-12-25,4
FRELCEAUSL,2023-12-22,2023-12-25,4
FRELCEDSW2,2023-12-22,2023-12-25,4
FRELCEPFL4,2023-12-22,2023-12-25,4
FRFASE3321101,2023-12-22,2023-12-25,4
FRFASE3321102,2023-12-22,2023-12-25,4
FRFASE3321103,2023-12-22,2023-12-25,4
FRFASE3321104,2023-12-22,2023-12-25,4
FRFASE3321105,2023-12-22,2023-12-25,4
FRFASE3321106,2023-12-22,2023-12-25,4
FRFASE3321107,2023-12-22,2023-12-25,4
FRFASE3321108,2023-12-22,2023-12-25,4
FRIKAEIKEA12611,2023-12-22,2023-12-25,4
FRIKAEIKEA12621,2023-12-22,2023-12-25,4
FRIKAEIKEA12631,2023-12-22,2023-12-25,4
FRIKAEIKEA12641,2023-12-22,2023-12-25,4
FRIKAEIKEA138101,2023-12-22,2023-12-25,4
FRIKAEIKEA13811,2023-12-22,2023-12-25,4
FRIKAEIKEA138111,2023-12-22,2023-12-25,4
FRIKAEIKEA138121,2023-12-22,2023-12-25,4
FRIKAEIKEA13821,2023-12-22,2023-12-25,4
FRIKAEIKEA13831,2023-12-22,2023-12-25,4
FRIKAEIKEA13841,2023-12-22,2023-12-25,4
FRIKAEIKEA13851,2023-12-22,2023-12-25,4
FRIKAEIKEA13861,2023-12-22,2023-12-25,4
FRIKAEIKEA13871,2023-12-22,2023-12-25,4
FRIKAEIKEA13881,2023-12-22,2023-12-25,4
FRIKAEIKEA13891,2023-12-22,2023-12-25,4
FRIOYE474101,2023-12-22,2023-12-25,4
FRIOYE474102,2023-12-22,2023-12-25,4
FRIOYE474103,2023-12-22,2023-12-25,4
FRIOYE474104,2023-12-22,2023-12-25,4
FRIOYE474105,2023-12-22,2023-12-25,4
FRIOYE474106,2023-12-22,2023-12-25,4
FRIOYE47415,2023-12-22,2023-12-25,4
FRIOYE477101,2023-12-22,2023-12-25,4
FRIOYE477102,2023-12-22,2023-12-25,4
FRIOYE477103,2023-12-22,2023-12-25,4
FRIOYE477104,2023-12-22,2023-12-25,4
FRIOYE477105,2023-12-22,2023-12-25,4
FRIOYE477106,2023-12-22,2023-12-25,4
FRIOYE480801,2023-12-22,2023-12-25,4
FRIOYE480802,2023-12-22,2023-12-25,4
FRIOYE480803,2023-12-22,2023-12-25,4
FRIOYE480804,2023-12-22,2023-12-25,4
FRIOYE480805,2023-12-22,2023-12-25,4
FRIOYE480806,2023-12-22,2023-12-25,4
FRIOYE48085,2023-12-22,2023-12-25,4
FRLDLE00003297,2023-12-22,2023-12-25,4
FRLDLE00003298,2023-12-22,2023-12-25,4
FRPD1EHLFLTTTITAN120011,2023-12-22,2023-12-25,4
FRPD1EHLFLTTTITAN120012,2023-12-22,2023-12-25,4
FRPD1EIMCSRTKPC011,2023-12-22,2023-12-25,4
FRPD1EIMCSRTKPC012,2023-12-22,2023-12-25,4
FRPD1EIMCSRTKPC013,2023-12-22,2023-12-25,4
FRPD1ELMCSORBBP100011,2023-12-22,2023-12-25,4
FRPD1ELMCSORBBP100012,2023-12-22,2023-12-25,4
FRPD1EMATCMOKP0011,2023-12-22,2023-12-25,4
FRPD1EMATCMOKP0012,2023-12-22,2023-12-25,4
FRPD1EMATCMOKP0013,2023-12-22,2023-12-25,4
FRPD1EMATCMOKP0014,2023-12-22,2023-12-25,4
FRPD1EMATTGFALF0011,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0011,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0012,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0013,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0014,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0015,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0016,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0017,2023-12-22,2023-12-25,4
FRPD1EMATTGFKP0018,2023-12-22,2023-12-25,4
FRPD1EMATTHVALF0011,2023-12-22,2023-12-25,4
FRPD1EMBCCBOBBC200011,2023-12-22,2023-12-25,4
FRPD1EMBCCBOBBC200012,2023-12-22,2023-12-25,4
FRPD1EMBCCBOBBC200013,2023-12-22,2023-12-25,4
FRPD1EMBCCBOBBC200014,2023-12-22,2023-12-25,4
FRPD1EMBRBLWSLIM100011,2023-12-22,2023-12-25,4
FRPD1EMBRBLWSLIM100012,2023-12-22,2023-12-25,4
FRPD1EMBRBLWSLIM100013,2023-12-22,2023-12-25,4
FRPD1ESTXLGVALF22011,2023-12-22,2023-12-25,4
FRS37E214040,2023-12-22,2023-12-25,4
FRS37E220301,2023-12-22,2023-12-25,4
FRS47EMB4711111,2023-12-22,2023-12-25,4
FRS47EMB4711112,2023-12-22,2023-12-25,4
FRALLEGO9000461,2023-12-21,2023-12-25,5
FRALLEGO9000462,2023-12-21,2023-12-25,5
FRALLEGO9000861,2023-12-21,2023-12-25,5
FRALLEGO9000862,2023-12-21,2023-12-25,5
FRALLEGO9001341,2023-12-21,2023-12-25,5
FRALLEGO9001342,2023-12-21,2023-12-25,5
FRALLEGO9001601,2023-12-21,2023-12-25,5
FRALLEGO9001602,2023-12-21,2023-12-25,5
FRALLEGO9005741,2023-12-21,2023-12-25,5
FRALLEGO9005742,2023-12-21,2023-12-25,5
FRALLEGO9007951,2023-12-21,2023-12-25,5
FRALLEGO9007952,2023-12-21,2023-12-25,5
FRALLEGO9007961,2023-12-21,2023-12-25,5
FRALLEGO9007962,2023-12-21,2023-12-25,5
FRALLEGO9008451,2023-12-21,2023-12-25,5
FRALLEGO9008452,2023-12-21,2023-12-25,5
FRALLEGO9008931,2023-12-21,2023-12-25,5
FRALLEGO9008932,2023-12-21,2023-12-25,5
FRALLEGO9009621,2023-12-21,2023-12-25,5
FRALLEGO9009622,2023-12-21,2023-12-25,5
FRALLEGO9009631,2023-12-21,2023-12-25,5
FRALLEGO9009632,2023-12-21,2023-12-25,5
FRCG0E000607,2023-12-21,2023-12-25,5
FRELCE8DUZ,2023-12-21,2023-12-25,5
FRELCEJJLV,2023-12-21,2023-12-25,5
FRELCEK79Y,2023-12-21,2023-12-25,5
FRELCETE3C,2023-12-21,2023-12-25,5
FRFASE3321001,2023-12-21,2023-12-25,5
FRFASE3321002,2023-12-21,2023-12-25,5
FRFASE3321003,2023-12-21,2023-12-25,5
FRFASE3321004,2023-12-21,2023-12-25,5
FRFR1EUHAD,2023-12-21,2023-12-25,5
FRIOYE475601,2023-12-21,2023-12-25,5
FRIOYE475602,2023-12-21,2023-12-25,5
FRIOYE475603,2023-12-21,2023-12-25,5
FRIOYE475604,2023-12-21,2023-12-25,5
FRIOYE475605,2023-12-21,2023-12-25,5
FRIOYE475606,2023-12-21,2023-12-25,5
FRIOYE47565,2023-12-21,2023-12-25,5
FRLDLE00000579,2023-12-21,2023-12-25,5
FRLDLE00000580,2023-12-21,2023-12-25,5
FRLDLE00002843,2023-12-21,2023-12-25,5
FRLDLE00002844,2023-12-21,2023-12-25,5
FRLDLE00003537,2023-12-21,2023-12-25,5
FRLDLE00003538,2023-12-21,2023-12-25,5
FRLDLE00004099,2023-12-21,2023-12-25,5
FRLDLE00004100,2023-12-21,2023-12-25,5
FRLDLE00004281,2023-12-21,2023-12-25,5
FRLDLE00004282,2023-12-21,2023-12-25,5
FRLDLE00004289,2023-12-21,2023-12-25,5
FRLDLE00004290,2023-12-21,2023-12-25,5
FRLDLE00004305,2023-12-21,2023-12-25,5
FRLDLE00004306,2023-12-21,2023-12-25,5
FRLDLE00004307,2023-12-21,2023-12-25,5
FRLDLE00004308,2023-12-21,2023-12-25,5
FRLDLE00005765,2023-12-21,2023-12-25,5
FRLDLE00005766,2023-12-21,2023-12-25,5
FRLDLE00005769,2023-12-21,2023-12-25,5
FRLDLE00005770,2023-12-21,2023-12-25,5
FRLDLE00005773,2023-12-21,2023-12-25,5
FRLDLE00005774,2023-12-21,2023-12-25,5
FRLDLE00005783,2023-12-21,2023-12-25,5
FRLDLE00005784,2023-12-21,2023-12-25,5
FRLDLE00005785,2023-12-21,2023-12-25,5
FRLDLE00005786,2023-12-21,2023-12-25,5
FRLDLE00005801,2023-12-21,2023-12-25,5
FRLDLE00005802,2023-12-21,2023-12-25,5
FRLDLE00005803,2023-12-21,2023-12-25,5
FRLDLE00005804,2023-12-21,2023-12-25,5
FRLDLE00005811,2023-12-21,2023-12-25,5
FRLDLE00005812,2023-12-21,2023-12-25,5
FRLDLE00005813,2023-12-21,2023-12-25,5
FRLDLE00005814,2023-12-21,2023-12-25,5
FRLDLE00005815,2023-12-21,2023-12-25,5
FRLDLE00005816,2023-12-21,2023-12-25,5
FRLDLE00005821,2023-12-21,2023-12-25,5
FRLDLE00005822,2023-12-21,2023-12-25,5
FRS40EMB409711,2023-12-21,2023-12-25,5
FRS40EMB409712,2023-12-21,2023-12-25,5
FRS41E232581,2023-12-21,2023-12-25,5
FRS41E232582,2023-12-21,2023-12-25,5
FRS41E233190,2023-12-21,2023-12-25,5
FRS41E233191,2023-12-21,2023-12-25,5
FRALLEGO8001071,2023-12-20,2023-12-25,6
FRALLEGO8001072,2023-12-20,2023-12-25,6
FRALLEGO8001081,2023-12-20,2023-12-25,6
FRALLEGO8001082,2023-12-20,2023-12-25,6
FRALLEGO8008581,2023-12-20,2023-12-25,6
FRALLEGO8008582,2023-12-20,2023-12-25,6
FRALLEGO9008881,2023-12-20,2023-12-25,6
FRALLEGO9008882,2023-12-20,2023-12-25,6
FRALLEGO9009871,2023-12-20,2023-12-25,6
FRALLEGO9009872,2023-12-20,2023-12-25,6
FRALLEGO9009881,2023-12-20,2023-12-25,6
FRALLEGO9009882,2023-12-20,2023-12-25,6
FRELCEBM9T,2023-12-20,2023-12-25,6
FRELCEGCFS,2023-12-20,2023-12-25,6
FRELCEL388,2023-12-20,2023-12-25,6
FRELCENNNR,2023-12-20,2023-12-25,6
FRELCEQHB3,2023-12-20,2023-12-25,6
FRELCESKR9,2023-12-20,2023-12-25,6
FRELCEWPWX,2023-12-20,2023-12-25,6
FRELCEYRXY,2023-12-20,2023-12-25,6
FRIENE0121011,2023-12-20,2023-12-25,6
FRIENE0121012,2023-12-20,2023-12-25,6
FRIENE0121023,2023-12-20,2023-12-25,6
FRIENE0121024,2023-12-20,2023-12-25,6
FRIENE0122012,2023-12-20,2023-12-25,6
FRIENE0122023,2023-12-20,2023-12-25,6
FRIENE0122024,2023-12-20,2023-12-25,6
FRLDLE00000314,2023-12-20,2023-12-24,5
FRLDLE00003977,2023-12-20,2023-12-25,6
FRLDLE00003978,2023-12-20,2023-12-25,6
FRLDLE00003995,2023-12-20,2023-12-25,6
FRLDLE00003996,2023-12-20,2023-12-25,6
FRLDLE00003997,2023-12-20,2023-12-25,6
FRLDLE00003998,2023-12-20,2023-12-25,6
FRLDLE00003999,2023-12-20,2023-12-25,6
FRLDLE00004000,2023-12-20,2023-12-25,6
FRLDLE00004279,2023-12-20,2023-12-25,6
FRLDLE00004280,2023-12-20,2023-12-25,6
FRLDLE00004283,2023-12-20,2023-12-25,6
FRLDLE00004284,2023-12-20,2023-12-25,6
FRLDLE00004287,2023-12-20,2023-12-25,6
FRLDLE00004288,2023-12-20,2023-12-25,6
FRLDLE00004291,2023-12-20,2023-12-25,6
FRLDLE00004292,2023-12-20,2023-12-25,6
FRLDLE00004315,2023-12-20,2023-12-25,6
FRLDLE00004316,2023-12-20,2023-12-25,6
FRLDLE00004317,2023-12-20,2023-12-25,6
FRLDLE00004318,2023-12-20,2023-12-25,6
FRLDLE00004319,2023-12-20,2023-12-25,6
FRLDLE00004320,2023-12-20,2023-12-25,6
FRLDLE00004323,2023-12-20,2023-12-25,6
FRLDLE00004324,2023-12-20,2023-12-25,6
FRLDLE00004325,2023-12-20,2023-12-25,6
FRLDLE00004326,2023-12-20,2023-12-25,6
FRLDLE00004327,2023-12-20,2023-12-25,6
FRLDLE00004328,2023-12-20,2023-12-25,6
FRLDLE00005767,2023-12-20,2023-12-25,6
FRLDLE00005768,2023-12-20,2023-12-25,6
FRLDLE00005793,2023-12-20,2023-12-25,6
FRLDLE00005794,2023-12-20,2023-12-25,6
FRLDLE00005795,2023-12-20,2023-12-25,6
FRLDLE00005796,2023-12-20,2023-12-25,6
FRLDLE00005797,2023-12-20,2023-12-25,6
FRLDLE00005798,2023-12-20,2023-12-25,6
FRLDLE00005799,2023-12-20,2023-12-25,6
FRLDLE00005800,2023-12-20,2023-12-25,6
FRLDLE00005817,2023-12-20,2023-12-25,6
FRLDLE00005818,2023-12-20,2023-12-25,6
FRLDLE00005819,2023-12-20,2023-12-25,6
FRLDLE00005820,2023-12-20,2023-12-25,6
FRLDLE00005823,2023-12-20,2023-12-25,6
FRLDLE00005824,2023-12-20,2023-12-25,6
FRMBZEFZGEF1,2023-12-20,2023-12-25,6
FRMBZEFZGEF2,2023-12-20,2023-12-25,6
FRMBZEJOCRI1,2023-12-20,2023-12-25,6
FRMBZEJOCRI2,2023-12-20,2023-12-25,6
FRMBZEWPACS1,2023-12-20,2023-12-25,6
FRMBZEWPACS2,2023-12-20,2023-12-25,6
FRMBZEXBPBT1,2023-12-20,2023-12-25,6
FRMBZEXBPBT2,2023-12-20,2023-12-25,6
FRPD1EACCCLMALF0011,2023-12-20,2023-12-25,6
FRPD1EACCCLMKP200011,2023-12-20,2023-12-25,6
FRPD1EACCCLMKP200012,2023-12-20,2023-12-25,6
FRPD1EACCCLMKP200013,2023-12-20,2023-12-25,6
FRPD1EACCCLMKP200014,2023-12-20,2023-12-25,6
FRPD1EACCCLMKP200015,2023-12-20,2023-12-25,6
FRPD1EACCIBEALF22011,2023-12-20,2023-12-25,6
FRPD1EACCIBEALF22012,2023-12-20,2023-12-25,6
FRPD1EACCIBEALF22021,2023-12-20,2023-12-25,6
FRPD1EACCIBEALF22022,2023-12-20,2023-12-25,6
FRPD1EACCIBEALF22031,2023-12-20,2023-12-25,6
